순번,부스명,부스번호,"인포 이미지 다운로드 URL
(이미지 여러장 올려주셔도 됩니다!)",부스 소개,부스 캐릭터,트위터 링크(선택),픽시브 링크(선택),윗치폼 통판 URL 1,"윗치폼 통판 URL 2
(필요하신 경우)",,,반영 시간(관리용)
16,골드 쉽 선생님의 알기 쉬운 컴퓨터 실무교육,C2,https://x.com/_pikiju/status/2026973123766341742?s=20,황금일족 6명의 개그&스릴러 만화 회지 및 엽서&명함을 팔고 있습니다.,"스테이 골드, 나카야마 페스타, 드림 저니, 오르페브르, 골드 쉽, 페노메노",https://x.com/_pikiju,https://www.pixiv.net/users/2164044,https://witchform.com/payform/?uuid=WJGMFQOP5U,,인포 이미지 추가했습니다!(2.26 19:51),,2026-02-26 20:36
17,골드쉽의 빨간약부스,C3,https://drive.google.com/drive/folders/1jFxJc4ZWeuNWgR50Ma7TeA1DZW2crpxj?usp=drive_link,우마무스메 명마의 초상과 극장판 멤버들의 굿즈를 팝니다.,"골드 쉽, 라이스 샤워, 메이쇼 도토, 토카이 테이오, 애스턴 마짱, 스테이 골드, 정글 포켓, 아그니스 타키온, 맨하탄 카페, 단츠 플레임",https://x.com/Oourpeace975,https://www.pixiv.net/users/33073888,,,인포권한 수정했습니다. 픽시브 링크 추가 부탁드립니다. 애스턴 마짱 오타 수정했습니다.,반영했습니다.,2026-02-27 1:06
18,네이처가 너무 귀여워!,C4,https://drive.google.com/file/d/1Uyx_xELZs1Sy7zp73aKu7eMH_jiDvDmx/view?usp=sharing,,,https://x.com/jjamponshojo,,https://witchform.com/payform/?uuid=VAOI5CXA1S,,,반영했습니다!,2026-02-27 22:17
19,SHIRONISM,C5,https://drive.google.com/file/d/1W2zLYSu9XfdrQ5BH8p_mPlhAEU7RhjHd/view?usp=drive_link,일러스트북 판매하고 있습니다.,"슈가 라이츠, 아이네스 후진, 애스턴 마짱, 사토노 크라운, 노른 에이스, 럭키 라일락, 다이타쿠 헬리오스, 아그네스 디지털, 스테이 골드, 토카이 테이오, 칼스톤 라이트 오, 마치카네 탄호이저, 마르슈 로렌",https://x.com/shironism,https://www.pixiv.net/users/96712948,https://witchform.com/payform/?uuid=MHKGVG0LH6,,,,2026-02-28 14:07
20,기니,D1,https://drive.google.com/drive/folders/1gXNlV2RQUPRsxtA2lM9m8V5WvfdnwoR-?usp=sharing,"스티커, 잡지 컨셉의 포스터 및 아크릴 스탠드 판매 예정입니다 ^_^","메이쇼 도토, 맨하탄 카페, 마루젠스키, 라이스 샤워, 페노메노, 마야노 탑건,  다이와 스칼렛",https://x.com/povertyisabusee,https://x.com/meettheton,,,인포 이미지 추가했습니다 3.4  01:33,,2026-03-01 1:03
21,쿠소문학회,D2,https://x.com/KUsobookclub/status/2027575600693772768,고려대학교 비공식 소모임 서클입니다! 회지 중신으로 취급하며 점점 성장해가고 있으니 많은 관심 부탁드려요~,,https://x.com/KUsobookclub,,,,,,2026-03-01 15:20
22,VRX 작업장,D3,https://twitter.com/Wakamiya_Erika/status/2028375933439312288?s=19,"중국에서 온 동아리입니다! 아무래도 불편한 점이 많을 수 있겠지만, 잘 부탁드립니다!",러브즈 온리 유,,,,,,,2026-03-01 15:38
23,말딸 기어 솔리드,D4,https://drive.google.com/file/d/1VhprqTQ2-pbOwN9kBrdGfgTrjwdH0gnc/view?usp=drive_link,게임 메탈기어솔리드3(델타)에서 등장하는 말을 우마무스메화.,안달루시안(우마무스메화),https://x.com/whatis0226,,,,,,2026-03-01 22:07
24,스페페페의 3천엔,D5,https://drive.google.com/drive/folders/1E9ePrxX1iYRlDLA646H3g39dfn6lzzGr?usp=drive_link,거의 모든 캐릭터의 미니캐릭터 아크릴 키링 판매중! ,"스페셜 위크, 사일런스 스즈카, 토카이 테이오, 마루젠스키, 후지 키세키, 오구리 캡, 골드 쉽, 보드카, 다이와 스칼렛, 타이키 셔틀, 그래스 원더, 히시 아마존, 메지로 맥퀸, 엘 콘도르 파사, 티엠 오페라 오, 나리타 브라이언, 심볼리 루돌프, 에어 그루브, 아그네스 디지털, 세이운 스카이, 타마모 크로스, 파인 모션, 비와 하야히데, 마야노 탑건, 맨하탄 카페, 미호노 부르봉, 메지로 라이언, 히시 아케보노, 유키노 비진, 라이스 샤워, 아이네스 후진, 아그네스 타키온, 어드마이어 베가, 위닝 티켓, 에어 샤커, 에이신 플래시, 카렌짱, 골드 시티, 사쿠라 바쿠신 오, 스윕 토쇼, 슈퍼 크릭, 스마트 팔콘, 젠노 롭 로이, 토센 조던, 나카야마 페스타, 나리타 타이신, 니시노 플라워, 하루 우라라, 마치카네 후쿠키타루, 미스터 시비, 메이쇼 도토, 메지로 도베르, 나이스 네이처, 킹 헤일로, 마치카네 탄호이저, 이쿠노 딕터스, 메지로 파머, 다이타쿠 헬리오스, 트윈 터보, 사토노 다이아몬드, 키타산 블랙, 사쿠라 치요노 오, 시리우스 심볼리, 메지로 아르당, 야에노 무테키, 츠루마루 츠요시, 메지로 브라이트, 데어링 택트, 사쿠라 로렐, 나리타 탑 로드, 야마닌 제퍼, 푸리오소, 트랜센드, 에스푸아르 시티, 노스 플라이트, 심볼리 크리스 에스, 타니노 김렛, 다이이치 루비, 메지로 라모누, 애스턴 마짱, 사토노 크라운, 슈발 그랑, 베르시나, 비블로스, 단츠 플레임, 케이에스 미라클, 정글 포켓, 노 리즌, 스틸 인 러브, 코파노 리키, 홋코 타루마에, 원더 어큐트, 사운즈 오브 어스, 카츠라기 에이스, 네오 유니버스, 히시 미라클, 두라멘테, 라인 크라프트, 세자리오, 에어 메사이어, 데어링 하트, 부에나 비스타, 오르페브르, 젠틸돈나, 윈 바리아시옹, 드림 저니, 칼스톤 라이트 오, 뒤랑달, 페노메노, 아몬드 아이, 럭키 라일락, 그란 알레그리아, 러브즈 온리 유, 크로노 제네시스, 카렌 부케도르, 스테이 골드, 포에버 영",https://x.com/dx_nuf,https://www.pixiv.net/users/9355981,,,"인포 추가, 부스 캐릭터에 포에버 영 추가했습니다.",반영했습니다!,2026-03-02 1:45
25,당근맛빵,E1,https://drive.google.com/file/d/1dPHwhdbvPpZDzrvfnvyMgyV0P30i8rNm/view?usp=sharing,우마무스메 게릴라 리퀘스트,카츠라기 에이스 외,https://x.com/BRDROT,,,,인포 추가 및 정보 변경했습니다(03.07 12:00),,2026-03-02 19:18
